Id,Anime Title,Rating,Studio,Source Material,Demographic,Genre,VAs,soup
'32937','KonoSubarashiiSekainiShukufukuwo!2',8.27,StudioDeen,Lightnovel, 'n/a',"['Adventure', 'Comedy', 'Fantasy', 'Isekai', 'Parody', 'Reincarnation']","['TakahashiRie', 'RieFukushima', 'FukushimaJun', 'JunAmamiya', 'AmamiyaSora', 'SoraKayano', 'KayanoAi', 'AiHorie', 'HorieYui', 'YuiToyosaki', 'ToyosakiAki', 'AkiSuwa', 'SuwaAyaka', 'AyakaNishida', 'NishidaMasakazu', 'MasakazuSuwa', 'SuwaAyaka', 'AyakaNaganawa', 'NaganawaMaria']",KonoSubarashiiSekainiShukufukuwo!2 StudioDeen Lightnovel Adventure Comedy Fantasy Isekai Parody Reincarnation TakahashiRie RieFukushima FukushimaJun JunAmamiya AmamiyaSora SoraKayano KayanoAi AiHorie HorieYui YuiToyosaki ToyosakiAki AkiSuwa SuwaAyaka AyakaNishida NishidaMasakazu MasakazuSuwa SuwaAyaka AyakaNaganawa NaganawaMaria
'33206','Kobayashi-sanChinoMaidDragon',7.99,KyotoAnimation,Manga, 'n/a',"['Fantasy', 'SliceofLife']","['NaganawaMaria', 'MariaKuwahara', 'KuwaharaYuuki', 'YuukiTamura', 'TamuraMutsumi', 'MutsumiTakahashi', 'TakahashiMinami', 'MinamiTakada', 'TakadaYuuki', 'YuukiOno', 'OnoDaisuke', 'DaisukeKatou', 'KatouEmiri', 'EmiriIshihara', 'IshiharaKaori', 'KaoriNakamura', 'NakamuraYuuichi', 'YuuichiGotou', 'GotouYuuko']",Kobayashi-sanChinoMaidDragon KyotoAnimation Manga Fantasy SliceofLife NaganawaMaria MariaKuwahara KuwaharaYuuki YuukiTamura TamuraMutsumi MutsumiTakahashi TakahashiMinami MinamiTakada TakadaYuuki YuukiOno OnoDaisuke DaisukeKatou KatouEmiri EmiriIshihara IshiharaKaori KaoriNakamura NakamuraYuuichi YuuichiGotou GotouYuuko
'32615','YoujoSenki',7.97,Nut,Lightnovel, 'n/a',"['Action', 'Isekai', 'Military', 'Reincarnation']","['YuukiAoi', 'AoiHayami', 'HayamiSaori', 'SaoriOotsuka', 'OotsukaHouchuu', 'HouchuuMiki', 'MikiShinichiro', 'ShinichiroTomatsu', 'TomatsuHaruka', 'HarukaGenda', 'GendaTesshou', 'TesshouTezuka', 'TezukaHideaki', 'HideakiHamano', 'HamanoDaiki', 'DaikiTobita', 'TobitaNobuo', 'NobuoHoriuchi', 'HoriuchiKenyuu']",YoujoSenki Nut Lightnovel Action Isekai Military Reincarnation YuukiAoi AoiHayami HayamiSaori SaoriOotsuka OotsukaHouchuu HouchuuMiki MikiShinichiro ShinichiroTomatsu TomatsuHaruka HarukaGenda GendaTesshou TesshouTezuka TezukaHideaki HideakiHamano HamanoDaiki DaikiTobita TobitaNobuo NobuoHoriuchi HoriuchiKenyuu
'33487','Masamune-kunnoRevenge',6.74,SILVERLINK.,Manga, 'Shounen',"['Comedy', 'Romance', 'Harem', 'School', 'Shounen']","['OhashiAyaka', 'AyakaHanae', 'HanaeNatsuki', 'NatsukiMimori', 'MimoriSuzuko', 'SuzukoMinase', 'MinaseInori', 'InoriHayami', 'HayamiSaori', 'SaoriOgura', 'OguraYui', 'YuiTadokoro', 'TadokoroAzusa', 'AzusaItou', 'ItouKanae', 'KanaeOogame', 'OogameAsuka', 'AsukaIse', 'IseMariya']",Masamune-kunnoRevenge SILVERLINK. Manga Comedy Romance Harem School Shounen OhashiAyaka AyakaHanae HanaeNatsuki NatsukiMimori MimoriSuzuko SuzukoMinase MinaseInori InoriHayami HayamiSaori SaoriOgura OguraYui YuiTadokoro TadokoroAzusa AzusaItou ItouKanae KanaeOogame OogameAsuka AsukaIse IseMariya
'33506','AonoExorcist:KyotoFujouou-hen',7.36,A-1Pictures,Manga, 'Shounen',"['Action', 'Fantasy', 'Mythology', 'School', 'Shounen']","['OkamotoNobuhiko', 'NobuhikoFukuyama', 'FukuyamaJun', 'JunKamiya', 'KamiyaHiroshi', 'HiroshiTakagaki', 'TakagakiAyahi', 'AyahiSatou', 'SatouRina', 'RinaHirata', 'HirataHiroaki', 'HiroakiHanazawa', 'HanazawaKana', 'KanaNakai', 'NakaiKazuya', 'KazuyaYusa', 'YusaKouji', 'KoujiKitamura', 'KitamuraEri']",AonoExorcist:KyotoFujouou-hen A-1Pictures Manga Action Fantasy Mythology School Shounen OkamotoNobuhiko NobuhikoFukuyama FukuyamaJun JunKamiya KamiyaHiroshi HiroshiTakagaki TakagakiAyahi AyahiSatou SatouRina RinaHirata HirataHiroaki HiroakiHanazawa HanazawaKana KanaNakai NakaiKazuya KazuyaYusa YusaKouji KoujiKitamura KitamuraEri
'32949','KuzunoHonkai',7.17,Lerche,Manga, 'Seinen',"['Drama', 'Romance', 'School', 'Seinen']","['AnzaiChika', 'ChikaShimazaki', 'ShimazakiNobunaga', 'NobunagaTomatsu', 'TomatsuHaruka', 'HarukaToyosaki', 'ToyosakiAki', 'AkiIzawa', 'IzawaShiori', 'ShioriNojima', 'NojimaKenji', 'KenjiAsanuma', 'AsanumaShintarou', 'ShintarouKobayashi', 'KobayashiYuusuke', 'YuusukeFujii', 'FujiiYukiyo', 'YukiyoKijima', 'KijimaRyuuichi']",KuzunoHonkai Lerche Manga Drama Romance School Seinen AnzaiChika ChikaShimazaki ShimazakiNobunaga NobunagaTomatsu TomatsuHaruka HarukaToyosaki ToyosakiAki AkiIzawa IzawaShiori ShioriNojima NojimaKenji KenjiAsanuma AsanumaShintarou ShintarouKobayashi KobayashiYuusuke YuusukeFujii FujiiYukiyo YukiyoKijima KijimaRyuuichi
'33489','LittleWitchAcademia(TV)',7.82,Trigger,Original, 'n/a',"['Adventure', 'Comedy', 'Fantasy', 'School']","['HanMegumi', 'MegumiMurase', 'MuraseMichiyo', 'MichiyoHikasa', 'HikasaYouko', 'YoukoOrikasa', 'OrikasaFumiko', 'FumikoShida', 'ShidaArisa', 'ArisaHidaka', 'HidakaNoriko', 'NorikoMurakawa', 'MurakawaRie', 'RieHidaka', 'HidakaNoriko', 'NorikoKanemoto', 'KanemotoRyousuke', 'RyousukeUeda', 'UedaReina']",LittleWitchAcademia(TV) Trigger Original Adventure Comedy Fantasy School HanMegumi MegumiMurase MuraseMichiyo MichiyoHikasa HikasaYouko YoukoOrikasa OrikasaFumiko FumikoShida ShidaArisa ArisaHidaka HidakaNoriko NorikoMurakawa MurakawaRie RieHidaka HidakaNoriko NorikoKanemoto KanemotoRyousuke RyousukeUeda UedaReina
'33731','GabrielDropOut',7.46,DogaKobo,Manga, 'Shounen',"['Comedy', 'Supernatural', 'Mythology', 'School', 'Shounen']","['OozoraNaomi', 'NaomiTomita', 'TomitaMiyu', 'MiyuOonishi', 'OonishiSaori', 'SaoriHanazawa', 'HanazawaKana', 'KanaMinase', 'MinaseInori', 'InoriUmezu', 'UmezuHideyuki', 'HideyukiSawashiro', 'SawashiroMiyuki', 'MiyukiFuchigami', 'FuchigamiMai', 'MaiMorohoshi', 'MorohoshiSumire', 'SumireIzawa', 'IzawaMikako']",GabrielDropOut DogaKobo Manga Comedy Supernatural Mythology School Shounen OozoraNaomi NaomiTomita TomitaMiyu MiyuOonishi OonishiSaori SaoriHanazawa HanazawaKana KanaMinase MinaseInori InoriUmezu UmezuHideyuki HideyukiSawashiro SawashiroMiyuki MiyukiFuchigami FuchigamiMai MaiMorohoshi MorohoshiSumire SumireIzawa IzawaMikako
'33988','Demi-chanwaKataritai',7.56,A-1Pictures,Manga, 'Seinen',"['Comedy', 'Fantasy', 'School', 'Vampire', 'Seinen']","['HondoKaede', 'KaedeHikasa', 'HikasaYouko', 'YoukoSuwabe', 'SuwabeJunichi', 'JunichiShinoda', 'ShinodaMinami', 'MinamiNatsukawa', 'NatsukawaShiina', 'ShiinaLynn', 'LynnHanae', 'HanaeNatsuki', 'NatsukiTsuda', 'TsudaKenjirou', 'KenjirouIshigami', 'IshigamiShizuka', 'ShizukaTanezaki', 'TanezakiAtsumi']",Demi-chanwaKataritai A-1Pictures Manga Comedy Fantasy School Vampire Seinen HondoKaede KaedeHikasa HikasaYouko YoukoSuwabe SuwabeJunichi JunichiShinoda ShinodaMinami MinamiNatsukawa NatsukawaShiina ShiinaLynn LynnHanae HanaeNatsuki NatsukiTsuda TsudaKenjirou KenjirouIshigami IshigamiShizuka ShizukaTanezaki TanezakiAtsumi
'34096','Gintama.',8.99,BandaiNamcoPictures,Manga, 'Shounen',"['Action', 'Comedy', 'Sci-Fi', 'GagHumor', 'Historical', 'Parody', 'Samurai', 'Shounen']","['SugitaTomokazu', 'TomokazuKugimiya', 'KugimiyaRie', 'RieIshida', 'IshidaAkira', 'AkiraKoyasu', 'KoyasuTakehito', 'TakehitoSakaguchi', 'SakaguchiDaisuke', 'DaisukeHino', 'HinoSatoshi', 'SatoshiHirano', 'HiranoAya', 'AyaMiki', 'MikiShinichiro', 'ShinichiroTakahashi', 'TakahashiMikako']",Gintama. BandaiNamcoPictures Manga Action Comedy Sci-Fi GagHumor Historical Parody Samurai Shounen SugitaTomokazu TomokazuKugimiya KugimiyaRie RieIshida IshidaAkira AkiraKoyasu KoyasuTakehito TakehitoSakaguchi SakaguchiDaisuke DaisukeHino HinoSatoshi SatoshiHirano HiranoAya AyaMiki MikiShinichiro ShinichiroTakahashi TakahashiMikako
